G1;G2;G3;G4;G5;G6;G7;G8;G9
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;ПЕТРА ВЕЛИКОГО УЛ;2;;;11
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;ПРИМОРСКАЯ УЛ;8;;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СВЕТЛАНСКАЯ УЛ;106;;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СВЕТЛАНСКАЯ УЛ;51А;-;-;12
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СВЕТЛАНСКАЯ УЛ;145;;1;13
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СВЕТЛАНСКАЯ УЛ;22;;;24
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СНЕГОВАЯ УЛ;18;А;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СНЕГОВАЯ УЛ;1;;;11
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СТАНЮКОВИЧА УЛ;3;;;12
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;СТРЕЛЬНИКОВА УЛ;9;-;-;12
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;ТИГРОВАЯ УЛ;20А;;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;ГЕРОЕВ ТИХООКЕАНЦЕВ УЛ;5 А;;;11
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;ФАНЗАВОД УЛ;1;;;15
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;100-ЛЕТИЯ ВЛАДИВОСТОКА ПР-КТ;103;;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;100-ЛЕТИЯ ВЛАДИВОСТОКА ПР-КТ;57;А;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;100-ЛЕТИЯ ВЛАДИВОСТОКА ПР-КТ;155;3;5;11
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;БОРОДИНСКАЯ УЛ;46/50;;;12
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;КИРОВА УЛ;23;;;12
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;ПОСАДСКАЯ УЛ;20;;;11
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;РУССКАЯ УЛ;65;-;-;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;РУССКАЯ УЛ;46;;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;РУССКАЯ УЛ;9Б;;;10
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;РУССКАЯ УЛ;94А;;;11
ПРИМОРСКИЙ КРАЙ;;ВЛАДИВОСТОК Г;;РУССКАЯ УЛ;74;А;;11
ПРИМОРСКИЙ КРАЙ;;АРТЕМ Г;;КИРОВА УЛ;48;;;10
ПРИМОРСКИЙ КРАЙ;;АРТЕМ Г;;ТУЛЬСКАЯ УЛ;2;;;11
ПРИМОРСКИЙ КРАЙ;;НАХОДКА Г;;ЛЕНИНСКАЯ УЛ;2А;;;10
ПРИМОРСКИЙ КРАЙ;;НАХОДКА Г;;НАХОДКИНСКИЙ ПР-КТ;36;;;10
ПРИМОРСКИЙ КРАЙ;;НАХОДКА Г;;ПОРТОВАЯ УЛ;1;;;11
ПРИМОРСКИЙ КРАЙ;;НАХОДКА Г;;БЕЗЫМЯННЫЙ ПЕР;1;;;10
ПРИМОРСКИЙ КРАЙ;;ПАРТИЗАНСК Г;;ГОГОЛЕВСКАЯ УЛ;8;;;17
ПРИМОРСКИЙ КРАЙ;;ФОКИНО Г;;ПОСТНИКОВА УЛ;9;;;12
ПРИМОРСКИЙ КРАЙ;;ЛЕСОЗАВОДСК Г;;СИБИРЦЕВА УЛ;76;-;-;10
ПРИМОРСКИЙ КРАЙ;АНУЧИНСКИЙ Р-Н;;АНУЧИНО С;ЛАЗО УЛ;6;;;10
ПРИМОРСКИЙ КРАЙ;ПАРТИЗАНСКИЙ Р-Н;;ВЛАДИМИРО-АЛЕКСАНДРОВСКОЕ С;КОМСОМОЛЬСКАЯ УЛ;45А;;;11
ПРИМОРСКИЙ КРАЙ;ХАСАНСКИЙ Р-Н;;СЛАВЯНКА ПГТ;МОЛОДЕЖНАЯ УЛ;1;;;13
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;ДЗЕРЖИНСКОГО УЛ;116;"Б";;12
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;К.МАРКСА ПР-КТ;60;;;11
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;КРАСНОФЛОТСКАЯ УЛ;91;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;ЛЕНИНА УЛ;301;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;МАТРОСОВА УЛ;65;А;;11
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;МИРА УЛ;430;;;19
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;СЕРОВА УЛ;462;К;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;СТАВРОПОЛЬ Г;;1 ПАРАЛЛЕЛЬНЫЙ ПРОЕЗД;16;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;ЕССЕНТУКИ Г;;ЕРМОЛОВА УЛ;2;;;11
СТАВРОПОЛЬСКИЙ КРАЙ;;ЕССЕНТУКИ Г;;ПЯТИГОРСКАЯ УЛ;143;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;ЕССЕНТУКИ Г;;ПЯТИГОРСКАЯ УЛ;118А;;;13
СТАВРОПОЛЬСКИЙ КРАЙ;;ЕССЕНТУКИ Г;;ПЯТИГОРСКАЯ УЛ;129;;;15
СТАВРОПОЛЬСКИЙ КРАЙ;;ЕССЕНТУКИ Г;;ПЯТИГОРСКАЯ УЛ;139;;;16
СТАВРОПОЛЬСКИЙ КРАЙ;;КИСЛОВОДСК Г;;ПОБЕДЫ ПР-КТ;25;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;КИСЛОВОДСК Г;;ПРОМЫШЛЕННАЯ УЛ;14;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;КИСЛОВОДСК Г;;САПЕРНЫЙ ПЕР;10;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;КИСЛОВОДСК Г;;СТАНИЧНАЯ УЛ;2;;;11
СТАВРОПОЛЬСКИЙ КРАЙ;;НЕВИННОМЫССК Г;;3 ИНТЕРНАЦИОНАЛА УЛ;128;---;---;10
СТАВРОПОЛЬСКИЙ КРАЙ;;НЕВИННОМЫССК Г;;ГАГАРИНА УЛ;55;-------;-------;10
СТАВРОПОЛЬСКИЙ КРАЙ;;НЕВИННОМЫССК Г;;ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ;1;---;---;16
СТАВРОПОЛЬСКИЙ КРАЙ;;НЕВИННОМЫССК Г;;НИЗЯЕВА УЛ;2;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;НЕВИННОМЫССК Г;;НИЗЯЕВА УЛ;1;;;13
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;ДУНАЕВСКОГО УЛ;5;-;-;11
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;ЕРМОЛОВА УЛ;14;;;13
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;ЕРМОЛОВА УЛ;20;;;14
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;КИРОВА ПР-КТ;38;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;КИСЛОВОДСКОЕ Ш;19;-;-;12
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;ЛЕНИНА ПЛ;2;-;-;15
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;ПЕРВОМАЙСКАЯ УЛ;81;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;СУВОРОВСКИЙ ПРОЕЗД;1;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;УНИВЕРСИТЕТСКАЯ УЛ;32-А;-;-;13
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;;ЧЕРКЕССКОЕ Ш;1;-;-;10
СТАВРОПОЛЬСКИЙ КРАЙ;;ПЯТИГОРСК Г;ГОРЯЧЕВОДСКИЙ П;2-Я ЛИНИЯ УЛ;35-А;;;13
СТАВРОПОЛЬСКИЙ КРАЙ;ИЗОБИЛЬНЕНСКИЙ Р-Н;;СОЛНЕЧНОДОЛЬСК П;МОЛОДЕЖНАЯ УЛ;4;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;КОЧУБЕЕВСКИЙ Р-Н;;КОЧУБЕЕВСКОЕ С;ОКТЯБРЬСКОЙ РЕВОЛЮЦИИ УЛ;64;;;13
СТАВРОПОЛЬСКИЙ КРАЙ;КРАСНОГВАРДЕЙСКИЙ Р-Н;;КРАСНОГВАРДЕЙСКОЕ С;ЛЕНИНА УЛ;46 А;-;-;11
СТАВРОПОЛЬСКИЙ КРАЙ;КУРСКИЙ Р-Н;;КУРСКАЯ СТ-ЦА;ШКОЛЬНЫЙ ПЕР;12;;;13
СТАВРОПОЛЬСКИЙ КРАЙ;МИНЕРАЛОВОДСКИЙ Р-Н;МИНЕРАЛЬНЫЕ ВОДЫ Г;;22 ПАРТСЪЕЗДА ПР-КТ;141;;;10
СТАВРОПОЛЬСКИЙ КРАЙ;ПРЕДГОРНЫЙ Р-Н;;ЕССЕНТУКСКАЯ СТ-ЦА;НАБЕРЕЖНАЯ УЛ;5;-;-;12
СТАВРОПОЛЬСКИЙ КРАЙ;ПРЕДГОРНЫЙ Р-Н;;ЕССЕНТУКСКАЯ СТ-ЦА;САДОВОЕ КОЛЬЦО УЛ;5;-;-;11
СТАВРОПОЛЬСКИЙ КРАЙ;ПРЕДГОРНЫЙ Р-Н;;ЕССЕНТУКСКАЯ СТ-ЦА;ЮЦКИЙ ПЕР;1;-;-;11
СТАВРОПОЛЬСКИЙ КРАЙ;ШПАКОВСКИЙ Р-Н;МИХАЙЛОВСК Г;;ЛЕНИНА УЛ;113;;;13
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;АМУРСКИЙ Б-Р;43;;;10
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;АМУРСКИЙ Б-Р;1;-;-;13
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;БОЛЬШАЯ УЛ;9;;;10
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;ДИКОПОЛЬЦЕВА УЛ;26;;2;11
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;КРАСНОРЕЧЕНСКАЯ УЛ;155;;154;10
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;КРАСНОРЕЧЕНСКАЯ УЛ;94;;;10
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;ЛЕНИНГРАДСКАЯ УЛ;28;;;11
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;ЛОКОМОТИВНАЯ УЛ;12;А;;10
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;ЛЬВА ТОЛСТОГО УЛ;15;;;10
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;МУРАВЬЕВА-АМУРСКОГО УЛ;4;;;10
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;ПЕРЕКОПСКАЯ УЛ;2В;;;11
ХАБАРОВСКИЙ КРАЙ;;ХАБАРОВСК Г;;ТУРГЕНЕВА УЛ;46;;II (2-6, 41-44);15
ХАБАРОВСКИЙ КРАЙ;;КОМСОМОЛЬСК-НА-АМУРЕ Г;;ВОКЗАЛЬНАЯ УЛ;34;;;10
ХАБАРОВСКИЙ КРАЙ;;КОМСОМОЛЬСК-НА-АМУРЕ Г;;ПЕРВОСТРОИТЕЛЕЙ ПР-КТ;15;;;11
ХАБАРОВСКИЙ КРАЙ;АЯНО-МАЙСКИЙ Р-Н;;АЯН С;СОВЕТСКАЯ УЛ;8;;;10
ХАБАРОВСКИЙ КРАЙ;ВАНИНСКИЙ Р-Н;;ВАНИНО РП;ЖЕЛЕЗНОДОРОЖНАЯ УЛ;1;;;11
ХАБАРОВСКИЙ КРАЙ;ВАНИНСКИЙ Р-Н;;ВАНИНО РП;МИРА ПЛ;1;-----;-----;12
ХАБАРОВСКИЙ КРАЙ;ВЯЗЕМСКИЙ Р-Н;ВЯЗЕМСКИЙ Г;;КОММУНИСТИЧЕСКАЯ УЛ;8;;;10
ХАБАРОВСКИЙ КРАЙ;ХАБАРОВСКИЙ Р-Н;;ЧЕРНАЯ РЕЧКА С;ЦЕНТРАЛЬНАЯ УЛ;30;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;АРТИЛЛЕРИЙСКАЯ УЛ;8;;;11
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ГОРЬКОГО УЛ;233;1;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ГОРЬКОГО УЛ;9;;;13
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ЗЕЙСКАЯ УЛ;134;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;КАЛИНИНА УЛ;126;;;11
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ЛЕНИНА УЛ;60;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ЛЕНИНА УЛ;27;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ЛЕНИНА УЛ;140/1;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ЛЕНИНА УЛ;113;;;11
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ЛЕНИНА УЛ;80;;;17
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ЛЕНИНА УЛ;135;;;21
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;МУХИНА УЛ;110;А;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;НАБЕРЕЖНАЯ УЛ;32;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ОСТРОВСКОГО УЛ;160;;;14
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ПЕРВОМАЙСКАЯ УЛ;17;;;11
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ПУШКИНА УЛ;189;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ПУШКИНА УЛ;64;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ТЕКСТИЛЬНАЯ УЛ;48;;;16
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ФРУНЗЕ УЛ;48;;003;12
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;Б.ХМЕЛЬНИЦКОГО УЛ;20;;;10
АМУРСКАЯ ОБЛ;;БЛАГОВЕЩЕНСК Г;;ПРОМЫШЛЕННАЯ УЛ;7;;;11
АМУРСКАЯ ОБЛ;СКОВОРОДИНСКИЙ Р-Н;СКОВОРОДИНО Г;;ПОБЕДЫ УЛ;33;;;14
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;БАННЫЙ 1-Й ПЕР;2;1;;10
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ГАГАРИНА УЛ;46;;13;10
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ГАГАРИНА УЛ;46;;;10
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ГАГАРИНА УЛ;42;;;12
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ЛОМОНОСОВА ПР-КТ;30;;;11
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;МОСКОВСКИЙ ПР-КТ;25;;;11
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;СЕВЕРНОЙ ДВИНЫ НАБ;112;3;;10
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;СЕВЕРНОЙ ДВИНЫ НАБ;112;2;6;11
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;НИКОЛЬСКИЙ ПР-КТ;15;;;11
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;НОВГОРОДСКИЙ ПР-КТ;32;;;11
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ОКРУЖНОЕ Ш;3;1;;11
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ОКТЯБРЯТ УЛ;42;;;10
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ПОМОРСКАЯ УЛ;7;;;10
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ПОПОВА УЛ;14;;545;15
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ТЕСНАНОВА УЛ;10;;;10
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ТРОИЦКИЙ ПР-КТ;106;;ОФИС 52;13
АРХАНГЕЛЬСКАЯ ОБЛ;;АРХАНГЕЛЬСК Г;;ТАЛАЖСКОЕ Ш;45;;;13
АРХАНГЕЛЬСКАЯ ОБЛ;НЯНДОМСКИЙ Р-Н;НЯНДОМА Г;;60 ЛЕТ ОКТЯБРЯ УЛ;13;;;10
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;АРТЕМА СЕРГЕЕВА ПЛ;22А;;;11
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;КОСМОНАВТОВ УЛ;18;;;11
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;МАРИИ МАКСАКОВОЙ УЛ;14;;;10
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;НАБЕРЕЖНАЯ РЕКИ ЦАРЕВА УЛ;1;;;26
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;УКРАИНСКАЯ УЛ;3;;;13
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;КРАСНАЯ НАБЕРЕЖНАЯ УЛ;30;;;10
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;БОЕВАЯ УЛ;134;;;10
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;ЛЕНИНА УЛ;20;;;10
АСТРАХАНСКАЯ ОБЛ;;АСТРАХАНЬ Г;;АДМИРАЛА НАХИМОВА УЛ;60;;;11
АСТРАХАНСКАЯ ОБЛ;КРАСНОЯРСКИЙ Р-Н;;КРАСНЫЙ ЯР С;СОВЕТСКАЯ УЛ;1;;;14
АСТРАХАНСКАЯ ОБЛ;НАРИМАНОВСКИЙ Р-Н;НАРИМАНОВ Г;;ЦЕНТРАЛЬНАЯ УЛ;10;;;11
БЕЛГОРОДСКАЯ ОБЛ;;БЕЛГОРОД Г;;КАРЬЕРНЫЙ 2-Й ПЕР;10;;;13
БЕЛГОРОДСКАЯ ОБЛ;;БЕЛГОРОД Г;;НАРОДНЫЙ Б-Р;93;;;10
БЕЛГОРОДСКАЯ ОБЛ;;БЕЛГОРОД Г;;НАРОДНЫЙ Б-Р;70;;;10
БЕЛГОРОДСКАЯ ОБЛ;;БЕЛГОРОД Г;;НАРОДНЫЙ Б-Р;55;;;18
БЕЛГОРОДСКАЯ ОБЛ;;БЕЛГОРОД Г;;СОБОРНАЯ ПЛ;4;;;10
БЕЛГОРОДСКАЯ ОБЛ;;БЕЛГОРОД Г;;Б.ХМЕЛЬНИЦКОГО ПР-КТ;133В;;;4
БЕЛГОРОДСКАЯ ОБЛ;;СТАРЫЙ ОСКОЛ Г;;СТЕПНОЙ МКР;1;;;18
БЕЛГОРОДСКАЯ ОБЛ;ВАЛУЙСКИЙ Р-Н;ВАЛУЙКИ Г;;КРАСНАЯ ПЛ;1;---;---;10
БЕЛГОРОДСКАЯ ОБЛ;ВЕЙДЕЛЕВСКИЙ Р-Н;;ВЕЙДЕЛЕВКА П;ПЕРВОМАЙСКАЯ УЛ;1;;;10
БЕЛГОРОДСКАЯ ОБЛ;ВЕЙДЕЛЕВСКИЙ Р-Н;;ВЕЙДЕЛЕВКА П;ЦЕНТРАЛЬНАЯ УЛ;43А;;;11
БЕЛГОРОДСКАЯ ОБЛ;КРАСНЕНСКИЙ Р-Н;;КРАСНОЕ С;ПОДГОРНАЯ УЛ;4;-;-;10
БЕЛГОРОДСКАЯ ОБЛ;НОВООСКОЛЬСКИЙ Р-Н;НОВЫЙ ОСКОЛ Г;;1 МАЯ УЛ;2;;;13
БЕЛГОРОДСКАЯ ОБЛ;ЯКОВЛЕВСКИЙ Р-Н;СТРОИТЕЛЬ Г;;ЛЕНИНА УЛ;16;-;-;12
БЕЛГОРОДСКАЯ ОБЛ;БЕЛГОРОДСКИЙ Р-Н;;НОВОСАДОВЫЙ П;ЛЕЙТЕНАНТА ПАВЛОВА УЛ;1;-;-;10
БЕЛГОРОДСКАЯ ОБЛ;БЕЛГОРОДСКИЙ Р-Н;;ТАВРОВО С;ЛЕСНАЯ (ТАВРОВО-2 МКР.) УЛ;1;А;;10
БРЯНСКАЯ ОБЛ;;БРЯНСК Г;;50-Й АРМИИ УЛ;1;;;11
БРЯНСКАЯ ОБЛ;;БРЯНСК Г;;КАЛИНИНА УЛ;98;;;10
БРЯНСКАЯ ОБЛ;;БРЯНСК Г;;ПОКРОВСКАЯ ГОРА УЛ;5;;;12
БРЯНСКАЯ ОБЛ;;БРЯНСК Г;;СТАЛЕЛИТЕЙНАЯ УЛ;1;;;11
БРЯНСКАЯ ОБЛ;;БРЯНСК Г;;ФОКИНА УЛ;31;;;10
БРЯНСКАЯ ОБЛ;;КЛИНЦЫ Г;;ЛЕНИНА ПР-КТ;47;;;10
БРЯНСКАЯ ОБЛ;;КЛИНЦЫ Г;;ОКТЯБРЬСКАЯ УЛ;42;;;11
БРЯНСКАЯ ОБЛ;ГОРДЕЕВСКИЙ Р-Н;;ГОРДЕЕВКА С;ПОБЕДЫ УЛ;10;;;11
БРЯНСКАЯ ОБЛ;ЖИРЯТИНСКИЙ Р-Н;;ЖИРЯТИНО С;МИРА УЛ;10;;;10
БРЯНСКАЯ ОБЛ;КРАСНОГОРСКИЙ Р-Н;;КРАСНАЯ ГОРА ПГТ;ПЕРВОМАЙСКАЯ УЛ;6;;;10
БРЯНСКАЯ ОБЛ;РОГНЕДИНСКИЙ Р-Н;;РОГНЕДИНО РП;ЛЕНИНА УЛ;29;;;10
БРЯНСКАЯ ОБЛ;УНЕЧСКИЙ Р-Н;УНЕЧА Г;;ЛЕНИНА ПЛ;1;;;10
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;16 ЛЕТ ОКТЯБРЯ УЛ;68А;;;7
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;КОММУНАЛЬНЫЙ СПУСК;1;;;10
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;КРЕМЛЕВСКАЯ УЛ;5А;;;10
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;ОКТЯБРЬСКИЙ ПР-КТ;21;;;17
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;СТРЕЛЕЦКАЯ УЛ;2;;9;10
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;СТУДЕНАЯ ГОРА УЛ;5Б;;;12
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;БОЛЬШАЯ НИЖЕГОРОДСКАЯ УЛ;79;;;10
ВЛАДИМИРСКАЯ ОБЛ;;ВЛАДИМИР Г;;БОЛЬШАЯ НИЖЕГОРОДСКАЯ УЛ;77;АДМИНИСТРАТИВНЫЙ;21 (4 ЭТАЖ);11
ВЛАДИМИРСКАЯ ОБЛ;;КОВРОВ Г;;КРУПСКОЙ УЛ;55;;;11
ВЛАДИМИРСКАЯ ОБЛ;;МУРОМ Г;;1100-ЛЕТИЯ МУРОМА ПЛ;1;;;10
ВЛАДИМИРСКАЯ ОБЛ;;МУРОМ Г;;РАДИОЗАВОДСКОЕ Ш;23;;;10
ВЛАДИМИРСКАЯ ОБЛ;ВЯЗНИКОВСКИЙ Р-Н;ВЯЗНИКИ Г;;КОМСОМОЛЬСКАЯ УЛ;1;;;10
ВЛАДИМИРСКАЯ ОБЛ;ГОРОХОВЕЦКИЙ Р-Н;ГОРОХОВЕЦ Г;;ЛЕНИНА УЛ;93;;;11
ВЛАДИМИРСКАЯ ОБЛ;КИРЖАЧСКИЙ Р-Н;КИРЖАЧ Г;;СЕРЕГИНА УЛ;7;;;12
ВЛАДИМИРСКАЯ ОБЛ;ПЕТУШИНСКИЙ Р-Н;ПЕТУШКИ Г;;СОВЕТСКАЯ ПЛ;5;;;10
ВЛАДИМИРСКАЯ ОБЛ;СЕЛИВАНОВСКИЙ Р-Н;КРАСНАЯ ГОРБАТКА П;;КРАСНОАРМЕЙСКАЯ УЛ;12;;;11
ВЛАДИМИРСКАЯ ОБЛ;СОБИНСКИЙ Р-Н;СОБИНКА Г;;САДОВАЯ УЛ;4;;;10
ВЛАДИМИРСКАЯ ОБЛ;СУДОГОДСКИЙ Р-Н;СУДОГДА Г;;КОММУНИСТИЧЕСКАЯ УЛ;1;;;23
ВЛАДИМИРСКАЯ ОБЛ;СУЗДАЛЬСКИЙ Р-Н;СУЗДАЛЬ Г;;КРАСНАЯ ПЛ;1;;;13
ВОЛГОГРАДСКАЯ ОБЛ;;ВОЛГОГРАД Г;;БАРРИКАДНАЯ УЛ;1Б;;;10
ВОЛГОГРАДСКАЯ ОБЛ;;ВОЛГОГРАД Г;;БАРРИКАДНАЯ УЛ;1Д;;;10
ВОЛГОГРАДСКАЯ ОБЛ;;ВОЛГОГРАД Г;;АВИАТОРОВ Ш;1;;;10
ВОЛГОГРАДСКАЯ ОБЛ;;ВОЛГОГРАД Г;;АВИАТОРОВ Ш;3;;;11
ВОЛГОГРАДСКАЯ ОБЛ;;ВОЛГОГРАД Г;;7-Й ГВАРДЕЙСКОЙ УЛ;12;;;10
ВОЛГОГРАДСКАЯ ОБЛ;;ВОЛГОГРАД Г;;7-Й ГВАРДЕЙСКОЙ УЛ;7;;;10
ВОЛГОГРАДСКАЯ ОБЛ;;ВОЛГОГРАД Г;;7-Й ГВАРДЕЙСКОЙ УЛ;2;;;10
